,week_start,iso_code,location,average_weekly_percent_population_vaccinated,total_weekly_icu_patients_per_million,total_weekly_new_cases_per_ten_million,total_weekly_new_deaths_per_million,total_weekly_new_vaccinatons_per_thousand
160,2020-06-29,OWID_EUN,European Union,0.0,0.0,5.7274,1.8010000000000002,0.0
161,2020-06-29,USA,United States,0.0,0.0,101.1459,13.158,0.0
162,2020-07-06,DEU,Germany,0.0,23.582,2.9135,0.3,0.0
163,2020-07-06,FRA,France,0.0,50.653999999999996,4.4146,1.857,0.0
164,2020-07-06,GBR,United Kingdom,0.0,19.212,6.3444,5.229,0.0
165,2020-07-06,NZL,New Zealand,0.0,0.0,0.2123,0.0,0.0
166,2020-07-06,OWID_EUN,European Union,0.0,0.0,6.132300000000001,1.484,0.0
167,2020-07-06,USA,United States,0.0,0.0,115.9376,16.345,0.0
168,2020-07-13,DEU,Germany,0.0,21.269,3.6512000000000002,0.372,0.0
169,2020-07-13,FRA,France,0.0,47.114,5.4312,1.455,0.0
170,2020-07-13,GBR,United Kingdom,0.0,15.004,6.4289000000000005,3.748,0.0
171,2020-07-13,NZL,New Zealand,0.0,0.0,0.1737,0.0,0.0
172,2020-07-13,OWID_EUN,European Union,0.0,0.0,7.995,1.357,0.0
173,2020-07-13,USA,United States,0.0,150.676,137.8307,19.705,0.0
174,2020-07-20,DEU,Germany,0.0,20.837,4.7211,0.396,0.0
175,2020-07-20,FRA,France,0.0,41.629999999999995,8.611,1.516,0.0
176,2020-07-20,GBR,United Kingdom,0.0,11.495,7.3605,3.051,0.0
177,2020-07-20,NZL,New Zealand,0.0,0.0,0.05790000000000001,0.0,0.0
178,2020-07-20,OWID_EUN,European Union,0.0,0.0,10.7487,1.3860000000000001,0.0
179,2020-07-20,USA,United States,0.0,264.814,138.3137,22.84,0.0
180,2020-07-27,DEU,Germany,0.0,21.821,5.8091,0.444,0.0
181,2020-07-27,FRA,France,0.0,36.63,11.877500000000001,1.191,0.0
182,2020-07-27,GBR,United Kingdom,0.0,9.244,8.1826,2.593,0.0
183,2020-07-27,NZL,New Zealand,0.0,0.0,0.1737,0.0,0.0
184,2020-07-27,OWID_EUN,European Union,0.0,0.0,14.000399999999999,1.5310000000000001,0.0
185,2020-07-27,USA,United States,0.0,297.195,127.4794,24.08,0.0
186,2020-08-03,DEU,Germany,0.0,20.320999999999998,7.277200000000001,0.408,0.0
187,2020-08-03,FRA,France,0.0,37.501,16.8646,1.068,0.0
188,2020-08-03,GBR,United Kingdom,0.0,7.243,9.5069,2.149,0.0
189,2020-08-03,NZL,New Zealand,0.0,0.0,0.0772,0.0,0.0
190,2020-08-03,OWID_EUN,European Union,0.0,0.0,17.8502,1.914,0.0
191,2020-08-03,USA,United States,0.0,285.54,111.1204,23.055,0.0
192,2020-08-10,DEU,Germany,0.0,19.037,9.561,0.372,0.0
193,2020-08-10,FRA,France,0.0,36.792,25.7634,1.424,0.0
194,2020-08-10,GBR,United Kingdom,0.0,7.776,11.5496,2.237,0.0
195,2020-08-10,NZL,New Zealand,0.0,0.0,1.0028000000000001,0.0,0.0
196,2020-08-10,OWID_EUN,European Union,0.0,0.0,22.8717,2.488,0.0
197,2020-08-10,USA,United States,0.0,261.70799999999997,107.20429999999999,21.886,0.0
198,2020-08-17,DEU,Germany,0.0,19.409,11.491,0.372,0.0
199,2020-08-17,FRA,France,0.0,37.662,39.0056,1.826,0.0
200,2020-08-17,GBR,United Kingdom,0.0,7.510999999999999,11.4473,1.674,0.0
201,2020-08-17,NZL,New Zealand,0.0,0.0,1.0221,0.0,0.0
202,2020-08-17,OWID_EUN,European Union,0.0,0.0,28.0935,2.419,0.0
203,2020-08-17,USA,United States,0.0,234.41,93.3483,19.737000000000002,0.0
204,2020-08-24,DEU,Germany,0.0,19.889,10.6082,0.216,0.0
205,2020-08-24,FRA,France,0.0,39.918,58.417100000000005,1.718,0.0
206,2020-08-24,GBR,United Kingdom,0.0,6.888,13.1152,1.482,0.0
207,2020-08-24,NZL,New Zealand,0.0,0.0,1.0414,0.0,0.0
208,2020-08-24,OWID_EUN,European Union,0.0,0.0,33.8868,2.5949999999999998,0.0
209,2020-08-24,USA,United States,0.0,209.026,87.1874,18.75,0.0
210,2020-08-31,DEU,Germany,0.0,19.097,10.3263,0.42,0.0
211,2020-08-31,FRA,France,0.0,46.333,77.67229999999999,1.95,0.0
212,2020-08-31,GBR,United Kingdom,0.0,7.629,22.994,1.2890000000000001,0.0
213,2020-08-31,NZL,New Zealand,0.0,0.0,0.8292999999999999,0.386,0.0
214,2020-08-31,OWID_EUN,European Union,0.0,0.0,38.8407,3.016,0.0
215,2020-08-31,USA,United States,0.0,191.858,87.2781,16.863,0.0
216,2020-09-07,DEU,Germany,0.0,19.277,11.7369,0.816,0.0
