,week_start,indicator,European Union,France,Germany,New Zealand,United Kingdom,United States
326,2021-03-29,ICU patients per million,0.0,531.994,316.745,0.0,54.022999999999996,176.169
327,2021-03-29,New cases per ten million,242.6782,375.0884,131.9506,0.27,40.177,133.0102
328,2021-03-29,Deaths per million,38.009,30.313,19.072,0.0,6.341,15.821
331,2021-04-05,ICU patients per million,0.0,587.747,372.748,0.0,43.698,188.002
332,2021-04-05,New cases per ten million,210.93649999999997,314.4494,141.7635,1.4658,30.1145,134.7808
333,2021-04-05,Deaths per million,39.79,32.804,18.976,0.0,4.889,14.494
336,2021-04-12,ICU patients per million,0.0,610.178,396.882,0.0,35.447,197.34
337,2021-04-12,New cases per ten million,205.6885,312.803,170.35060000000001,0.25070000000000003,25.6796,138.1114
338,2021-04-12,Deaths per million,38.329,30.436,19.515,0.0,4.132,14.411
341,2021-04-19,ICU patients per million,0.0,616.2819999999999,420.64300000000003,0.0,27.685000000000002,201.976
342,2021-04-19,New cases per ten million,182.6089,277.69050000000004,173.5376,0.09649999999999999,24.77,120.0435
343,2021-04-19,Deaths per million,35.618,31.906,19.455,0.0,3.3770000000000002,13.955
346,2021-04-26,ICU patients per million,0.0,596.758,423.703,0.0,20.945,194.36599999999999
347,2021-04-26,New cases per ten million,153.4141,221.12869999999998,149.55530000000002,0.405,22.2799,100.0347
348,2021-04-26,Deaths per million,30.095,30.235,15.677,0.0,2.237,13.281
351,2021-05-03,ICU patients per million,0.0,543.391,400.961,0.0,17.286,182.229
352,2021-05-03,New cases per ten million,123.4478,164.9924,120.96340000000001,0.3857,21.4297,86.4124
353,2021-05-03,Deaths per million,24.081,23.721,12.115,0.0,1.8370000000000002,13.158000000000001
356,2021-05-10,ICU patients per million,0.0,464.748,359.904,0.0,13.628,162.513
357,2021-05-10,New cases per ten million,94.09909999999999,125.1342,84.858,0.1736,22.973200000000002,68.9793
358,2021-05-10,Deaths per million,18.912,18.398,8.108,0.0,1.54,11.744
361,2021-05-17,ICU patients per million,0.0,391.105,303.78,0.0,12.755,141.615
362,2021-05-17,New cases per ten million,76.2035,129.1341,63.176300000000005,0.3086,25.0604,53.6845
363,2021-05-17,Deaths per million,13.958,14.545,5.374,0.0,1.215,10.712
366,2021-05-24,ICU patients per million,0.0,333.329,240.638,0.0,12.754999999999999,123.495
367,2021-05-24,New cases per ten million,53.7722,93.446,35.8247,0.1158,33.1513,43.6935
368,2021-05-24,Deaths per million,10.143999999999998,11.946,3.131,0.0,1.2289999999999999,10.446
371,2021-05-31,ICU patients per million,0.0,277.587,175.615,0.0,13.792,106.322
372,2021-05-31,New cases per ten million,42.5621,71.9255,24.8051,0.1736,50.0365,29.2979
373,2021-05-31,Deaths per million,7.486,8.743,1.691,0.0,1.244,7.907
376,2021-06-07,ICU patients per million,0.0,233.23,128.333,0.0,16.841,90.717
377,2021-06-07,New cases per ten million,28.7992,41.7846,16.866999999999997,0.5014000000000001,74.0332,29.4319
378,2021-06-07,Deaths per million,7.173,5.493,0.804,0.0,1.29,7.756
381,2021-06-14,ICU patients per million,0.0,189.315,91.148,0.0,21.627000000000002,79.125
382,2021-06-14,New cases per ten million,20.3937,22.9317,8.7382,0.2123,99.3337,23.8336
383,2021-06-14,Deaths per million,4.654,4.781,0.564,0.0,1.482,5.208
386,2021-06-21,ICU patients per million,0.0,151.091,65.803,0.0,26.056,75.354
387,2021-06-21,New cases per ten million,18.4722,16.5412,5.8282,0.3472,159.2056,25.9059
388,2021-06-21,Deaths per million,4.3870000000000005,3.621,0.36,0.0,1.971,6.21
391,2021-06-28,ICU patients per million,0.0,121.643,50.606,0.0,31.862000000000002,77.262
392,2021-06-28,New cases per ten million,33.621,21.517400000000002,5.2633,0.3857,259.93,28.684600000000003
393,2021-06-28,Deaths per million,3.584,2.646,0.3,0.0,2.49,5.075
396,2021-07-05,ICU patients per million,0.0,102.104,39.691,0.0,43.461,87.912
397,2021-07-05,New cases per ten million,63.4373,36.0811,6.713500000000001,0.2122,334.1485,84.6937
398,2021-07-05,Deaths per million,2.261,2.197,0.3,0.0,3.746,4.46
401,2021-07-12,ICU patients per million,0.0,94.597,33.07,0.0,56.852000000000004,114.50200000000001
402,2021-07-12,New cases per ten million,89.85570000000001,72.1932,10.930800000000001,0.9257,478.8611,65.7954
403,2021-07-12,Deaths per million,1.63,1.485,0.36,0.0,4.859,5.708
406,2021-07-19,ICU patients per million,0.0,90.557,30.238,0.0,71.457,160.542
407,2021-07-19,New cases per ten million,105.6184,182.708,15.168600000000001,0.8871,380.83979999999997,106.13000000000001
408,2021-07-19,Deaths per million,2.12,1.841,0.48,0.0,7.629,6.161
411,2021-07-26,ICU patients per million,0.0,106.838,30.214,0.0,89.603,227.637
412,2021-07-26,New cases per ten million,104.01830000000001,221.55419999999998,18.618199999999998,0.2701,278.5112,161.7209
413,2021-07-26,Deaths per million,3.06,3.714,0.864,0.0,8.487,8.652000000000001
416,2021-08-02,ICU patients per million,0.0,145.665,33.322,0.0,90.566,313.452
417,2021-08-02,New cases per ten million,97.6805,227.66930000000002,24.4969,0.2122,287.2227,219.6506
418,2021-08-02,Deaths per million,3.849,4.364,1.068,0.0,9.644,13.163
421,2021-08-09,ICU patients per million,0.0,183.608,39.714999999999996,0.0,91.365,402.244
422,2021-08-09,New cases per ten million,99.04549999999999,233.54149999999998,38.4755,0.7329,300.9337,262.04269999999997
423,2021-08-09,Deaths per million,4.598,5.462,1.727,0.0,9.628,16.663
426,2021-08-16,ICU patients per million,0.0,210.711,52.705,0.0,97.068,475.44100000000003
427,2021-08-16,New cases per ten million,96.07039999999999,206.68110000000001,59.5563,2.4684,344.6684,301.5065
428,2021-08-16,Deaths per million,5.978,10.816,2.687,0.0,10.931000000000001,23.811
431,2021-08-23,ICU patients per million,0.0,232.123,74.32000000000001,0.0,100.239,521.754
432,2021-08-23,New cases per ten million,93.6095,173.4951,79.6103,8.9678,362.635,323.65430000000003
433,2021-08-23,Deaths per million,6.249,7.18,4.21,0.0,12.621,30.101
436,2021-08-30,ICU patients per million,0.0,233.73,98.788,0.0,105.718,535.135
